Time,X(CH1),X(CH2),
Second,Volt,Volt,
1.2984375e+02,4.64000e+00,8.24000e+00,
1.2987305e+02,4.64000e+00,8.24000e+00,
1.2990234e+02,4.64000e+00,8.24000e+00,
1.2993164e+02,4.60000e+00,8.24000e+00,
1.2996094e+02,4.60000e+00,8.24000e+00,
1.2999023e+02,4.60000e+00,8.24000e+00,
1.3001953e+02,4.64000e+00,8.24000e+00,
1.3004883e+02,4.60000e+00,8.24000e+00,
1.3007813e+02,4.60000e+00,8.24000e+00,
1.3010742e+02,4.64000e+00,8.24000e+00,
1.3013672e+02,4.64000e+00,8.24000e+00,
1.3016602e+02,4.64000e+00,8.24000e+00,
1.3019531e+02,4.64000e+00,8.24000e+00,
1.3022461e+02,4.64000e+00,8.24000e+00,
1.3025391e+02,4.60000e+00,8.24000e+00,
1.3028320e+02,4.64000e+00,8.24000e+00,
1.3031250e+02,4.64000e+00,8.24000e+00,
1.3034180e+02,4.68000e+00,8.24000e+00,
1.3037109e+02,4.64000e+00,8.24000e+00,
1.3040039e+02,4.68000e+00,8.24000e+00,
1.3042969e+02,4.68000e+00,8.24000e+00,
1.3045898e+02,4.64000e+00,8.24000e+00,
1.3048828e+02,4.64000e+00,8.24000e+00,
1.3051758e+02,4.64000e+00,8.24000e+00,
1.3054688e+02,4.64000e+00,8.24000e+00,
1.3057617e+02,4.64000e+00,8.24000e+00,
1.3060547e+02,4.64000e+00,8.24000e+00,
1.3063477e+02,4.64000e+00,8.24000e+00,
1.3066406e+02,4.64000e+00,8.24000e+00,
1.3069336e+02,4.68000e+00,8.24000e+00,
1.3072266e+02,4.64000e+00,8.24000e+00,
1.3075195e+02,4.68000e+00,8.24000e+00,
1.3078125e+02,4.68000e+00,8.24000e+00,
1.3081055e+02,4.64000e+00,8.24000e+00,
1.3083984e+02,4.64000e+00,8.24000e+00,
1.3086914e+02,4.68000e+00,8.24000e+00,
1.3089844e+02,4.60000e+00,8.24000e+00,
1.3092773e+02,4.68000e+00,8.24000e+00,
1.3095703e+02,4.68000e+00,8.24000e+00,
1.3098633e+02,4.64000e+00,8.24000e+00,
